total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,county,tract,year,dataset,fetched_date
4676,2254,2422,,755,1102,0,3502,1735,1684,51,,1563,37361,19416,954,2249,2249,1973,276,201,53,0,1945,439,1916,Census Tract 1.01; Westchester County; New York,36,119,000101,2022,acs/acs5,2025-10-13T11:21:08.325860
5602,3003,2599,,972,2187,23,2757,2446,2209,237,228700,1436,37473,20130,1232,2417,2417,2296,121,463,119,0,2227,445,2144,Census Tract 1.03; Westchester County; New York,36,119,000103,2022,acs/acs5,2025-10-13T11:21:08.325884
1469,742,727,,402,729,23,100,839,839,0,,3501,,74148,0,979,979,965,14,154,595,0,965,229,534,Census Tract 1.04; Westchester County; New York,36,119,000104,2022,acs/acs5,2025-10-13T11:21:08.325897
4412,1935,2477,,1448,683,62,2455,1639,1610,29,322800,1780,91940,37694,600,2249,2249,2014,235,409,687,84,1941,638,1790,Census Tract 2.02; Westchester County; New York,36,119,000202,2022,acs/acs5,2025-10-13T11:21:08.325908
3750,1910,1840,,1329,640,248,1705,1879,1786,93,123200,1736,77813,41296,354,1679,1679,1595,84,409,468,0,1589,207,1543,Census Tract 2.03; Westchester County; New York,36,119,000203,2022,acs/acs5,2025-10-13T11:21:08.325918
2597,1190,1407,,790,360,0,1992,1152,1108,44,565600,910,43402,23103,530,1215,1215,1215,0,239,122,21,1215,707,1167,Census Tract 2.04; Westchester County; New York,36,119,000204,2022,acs/acs5,2025-10-13T11:21:08.325929
3252,1697,1555,,470,486,61,2764,1466,1350,116,543400,1607,49266,27584,569,1480,1480,1456,24,402,142,42,1443,625,1265,Census Tract 2.05; Westchester County; New York,36,119,000205,2022,acs/acs5,2025-10-13T11:21:08.325939
4021,1954,2067,,570,1197,134,2523,1872,1697,175,,1175,40885,23576,513,1958,1958,1683,275,284,102,0,1672,650,1616,Census Tract 3; Westchester County; New York,36,119,000300,2022,acs/acs5,2025-10-13T11:21:08.325949
5529,2421,3108,,1656,1911,121,2675,2788,2642,146,569100,1929,65972,34376,1064,3319,3319,3131,188,702,229,31,3055,1034,2913,Census Tract 4.01; Westchester County; New York,36,119,000401,2022,acs/acs5,2025-10-13T11:21:08.325959
3888,1898,1990,,980,1373,59,2305,1692,1609,83,202000,1089,54958,32067,969,2056,2056,1791,265,421,87,0,1663,768,1663,Census Tract 4.03; Westchester County; New York,36,119,000403,2022,acs/acs5,2025-10-13T11:21:08.325970
3075,1617,1458,,799,845,48,2048,1218,1125,93,256500,1692,52639,21416,734,1340,1340,1136,204,232,176,35,1010,366,828,Census Tract 4.04; Westchester County; New York,36,119,000404,2022,acs/acs5,2025-10-13T11:21:08.325980
