county,agency,year,months_reported,total_index_crimes,violent,murder,forcible_rape,robbery,aggravated_assault,property,burglary,larceny,motor_vehicle_theft,region
Westchester,Ardsley Vg PD,2024,12,38,2,0,1,0,1,36,2,33,1,Non-New York City
Westchester,Bedford Town PD,2024,12,48,4,0,0,0,4,44,5,32,7,Non-New York City
Westchester,Briarcliff Manor Vg PD,2024,12,15,0,0,0,0,0,15,1,13,1,Non-New York City
Westchester,Bronxville Vg PD,2024,12,32,0,0,0,0,0,32,8,21,3,Non-New York City
Westchester,Buchanan Vg PD,2024,12,7,0,0,0,0,0,7,2,4,1,Non-New York City
Westchester,County Total,2024,,11078,1863,16,88,377,1382,9215,820,7589,806,Non-New York City
Westchester,Croton-On-Hudson Vg PD,2024,12,58,1,0,0,0,1,57,2,52,3,Non-New York City
Westchester,Dobbs Ferry Vg PD,2024,12,191,32,0,0,1,31,159,17,130,12,Non-New York City
Westchester,Eastchester Town PD,2024,12,117,4,0,0,2,2,113,8,96,9,Non-New York City
Westchester,Elmsford Vg PD,2024,12,7,1,0,1,0,0,6,2,4,0,Non-New York City
Westchester,Greenburgh Town PD,2024,12,609,25,0,4,5,16,584,29,531,24,Non-New York City
Westchester,Harrison Town PD,2024,12,154,2,0,0,0,2,152,19,131,2,Non-New York City
Westchester,Hastings-on-Hudson Vg PD,2024,12,32,1,0,0,1,0,31,1,25,5,Non-New York City
Westchester,Irvington Vg PD,2024,12,26,4,0,0,2,2,22,4,17,1,Non-New York City
Westchester,Larchmont Vg PD,2024,12,67,2,0,0,0,2,65,7,54,4,Non-New York City
Westchester,Lewisboro Town PD,2024,12,4,1,0,0,0,1,3,2,1,0,Non-New York City
Westchester,Mamaroneck Town PD,2024,12,67,1,0,0,0,1,66,4,59,3,Non-New York City
Westchester,Mamaroneck Vg PD,2024,12,267,21,0,4,2,15,246,15,225,6,Non-New York City
Westchester,Mount Pleasant Town PD,2024,12,181,18,0,0,2,16,163,20,135,8,Non-New York City
Westchester,Mount Vernon City PD,2024,12,1411,384,3,18,75,288,1027,97,737,193,Non-New York City
Westchester,New Castle Town PD,2024,11,50,0,0,0,0,0,50,4,46,0,Non-New York City
Westchester,New Rochelle City PD,2024,12,1112,115,0,3,36,76,997,41,905,51,Non-New York City
Westchester,North Castle Town PD,2024,11,112,16,0,0,0,16,96,15,73,8,Non-New York City
Westchester,NYC DEPP - Eastview PCT,2024,12,0,0,0,0,0,0,0,0,0,0,Non-New York City
Westchester,NYC-DEPP - Hillview PCT,2024,12,0,0,0,0,0,0,0,0,0,0,Non-New York City
Westchester,Ossining Vg PD,2024,11,180,25,0,0,6,19,155,14,128,13,Non-New York City
Westchester,Peekskill City PD,2024,12,318,59,2,4,7,46,259,25,220,14,Non-New York City
Westchester,Pelham Manor Vg PD,2024,12,214,8,0,0,4,4,206,9,183,14,Non-New York City
Westchester,Pelham Vg PD,2024,12,26,3,0,0,1,2,23,3,19,1,Non-New York City
Westchester,Pleasantville Vg PD,2024,12,50,6,0,0,1,5,44,2,42,0,Non-New York City
Westchester,Port Chester Vg PD,2024,12,315,23,0,0,11,12,292,24,256,12,Non-New York City
Westchester,Pound Ridge Town PD,2024,12,29,0,0,0,0,0,29,1,25,3,Non-New York City
Westchester,Rye Brook Vg PD,2024,12,66,2,0,0,1,1,64,7,49,8,Non-New York City
Westchester,Rye City PD,2024,12,44,2,0,1,0,1,42,4,28,10,Non-New York City
Westchester,Scarsdale Vg PD,2024,12,64,1,0,0,1,0,63,12,45,6,Non-New York City
Westchester,Sleepy Hollow Vg PD,2024,1,0,0,0,0,0,0,0,0,0,0,Non-New York City
Westchester,Tarrytown Vg PD,2024,12,55,5,0,0,2,3,50,7,39,4,Non-New York City
Westchester,Tuckahoe Vg PD,2024,12,9,2,0,0,0,2,7,3,3,1,Non-New York City
Westchester,Westchester Co Dept Pub Safety,2024,12,133,11,0,0,5,6,122,9,109,4,Non-New York City
Westchester,Westchester County MTA,2024,12,27,0,0,0,0,0,27,2,25,0,Non-New York City
Westchester,Westchester County Park PD,2024,12,0,0,0,0,0,0,0,0,0,0,Non-New York City
Westchester,Westchester County State Police,2024,11,611,195,3,15,1,176,416,40,356,20,Non-New York City
Westchester,White Plains City PD,2024,12,1159,69,1,3,11,54,1090,56,1005,29,Non-New York City
Westchester,Yonkers City PD,2024,12,2942,805,7,31,200,567,2137,284,1538,315,Non-New York City
Westchester,Yorktown Town PD,2024,12,231,13,0,3,0,10,218,13,195,10,Non-New York City
Westchester,Ardsley Vg PD,2023,12,45,1,0,0,1,0,44,5,39,0,Non-New York City
Westchester,Bedford Town PD,2023,12,29,5,0,3,0,2,24,8,14,2,Non-New York City
Westchester,Briarcliff Manor Vg PD,2023,12,18,0,0,0,0,0,18,6,9,3,Non-New York City
